"","fatality","time_of_day","day_of_week","month","number_of_colliding_vehicles","heavy_vehicle_involved","accident_at_intersection","inappropriate_turning"
"366993",0,"17","2","7","2","1","1","0"
"259911",0,"17","2","1","2","1","1","0"
"407863",0,"23","6","5","2","0","1","0"
"456678",0,"2","6","3","1","0","0","0"
"325222",0,"15","0","10","1","0","1","0"
"164019",0,"18","6","6","2","0","1","0"
"144230",0,"16","1","7","1","0","0","0"
"127940",0,"21","6","8","3","0","1","0"
"165547",0,"6","4","6","1","0","1","0"
"288411",0,"8","3","12","4","0","1","0"
"284386",0,"17","2","12","2","0","1","0"
"133444",0,"14","4","8","2","0","0","0"
"230142",0,"8","5","3","2","0","1","0"
"445640",0,"17","3","3","2","0","1","0"
"297500",0,"14","2","11","2","0","1","0"
"226230",0,"17","4","3","3","0","1","0"
"75471",0,"13","4","11","1","0","1","0"
"199938",0,"15","6","5","2","0","0","0"
"141785",0,"1","5","7","2","0","0","0"
"187258",0,"8","5","5","2","0","0","0"
"287894",0,"20","4","12","2","0","1","0"
"350941",0,"7","0","8","2","0","1","0"
"313962",0,"17","3","10","3","0","1","0"
"21970",0,"10","2","2","2","0","1","0"
"330218",0,"14","5","9","2","0","1","0"
"156188",0,"14","4","7","1","0","0","0"
"283713",0,"11","3","12","2","0","1","0"
"411714",0,"10","6","5","2","0","1","0"
"3500",0,"16","0","3","2","0","1","0"
"397661",0,"19","1","6","2","0","1","0"
"371049",0,"11","2","7","2","0","1","0"
"438305",0,"20","3","4","2","0","1","0"
"139765",0,"13","1","8","2","0","0","0"
"473209",0,"15","5","1","2","0","1","0"
"165203",0,"14","4","6","2","0","0","0"
"438290",0,"14","3","4","2","0","1","0"
"159093",0,"4","6","7","1","0","1","0"
"312917",0,"17","5","10","2","0","1","0"
"102436",0,"16","4","9","2","0","1","0"
"279523",0,"22","3","12","1","0","1","0"
"395359",0,"20","5","6","2","0","1","0"
"298414",0,"15","1","11","2","0","1","0"
"71005",0,"8","3","11","2","0","1","0"
"457379",0,"15","5","2","2","0","1","0"
"8175",0,"16","6","3","2","0","0","0"
"471720",0,"12","0","2","2","0","1","0"
"431105",0,"8","3","4","2","0","1","0"
"59908",0,"19","0","12","2","0","1","0"
"64494",0,"14","0","11","2","0","0","0"
"282653",0,"20","5","12","2","0","1","0"
"192228",0,"16","4","5","1","0","0","0"
"245405",0,"10","6","2","2","0","1","0"
"306083",0,"16","2","11","1","0","1","0"
"200875",0,"21","4","4","3","0","1","0"
"450804",0,"11","1","3","2","1","1","0"
"134014",0,"18","3","8","2","0","1","0"
"410960",0,"15","1","5","3","0","0","0"
"73826",0,"17","6","11","2","0","0","0"
"264930",0,"19","1","1","2","0","1","0"
"338040",0,"9","0","9","1","0","1","0"
"173036",0,"18","6","6","2","0","1","0"
"95115",0,"16","1","10","1","0","1","0"
"85309",0,"16","3","10","2","0","1","0"
"185627",0,"4","0","5","2","0","1","0"
"428034",0,"11","1","4","2","0","1","0"
"256519",0,"17","1","1","2","0","1","0"
"334916",0,"9","4","9","2","0","1","0"
"225751",0,"20","5","3","2","0","0","0"
"223770",0,"12","2","3","2","0","1","0"
"247239",0,"19","3","2","2","0","1","0"
"270596",0,"16","5","1","2","0","1","0"
"180929",0,"17","1","5","2","0","0","0"
"328236",0,"19","2","9","2","0","1","0"
"457414",0,"21","5","2","2","0","1","0"
"286964",0,"17","5","12","2","0","1","1"
"116308",0,"18","4","9","1","0","0","0"
"407390",0,"20","0","5","1","0","1","0"
"270446",0,"8","5","1","2","0","1","0"
"248556",0,"15","0","2","2","1","1","0"
"126880",0,"9","1","8","2","0","1","0"
"425547",0,"21","5","4","3","0","1","0"
"256231",0,"15","1","1","2","0","1","0"
"227152",0,"6","3","3","3","0","1","0"
"149264",0,"17","1","7","2","0","0","0"
"30911",0,"23","0","1","2","0","0","0"
"56354",0,"15","5","12","2","0","1","0"
"8398",0,"20","5","3","2","0","1","0"
"52414",0,"16","4","12","1","0","1","0"
"219010",0,"9","3","3","3","0","0","0"
"192837",0,"16","3","5","1","0","1","0"
"174115",0,"18","4","6","2","0","0","0"
"277199",0,"12","6","12","2","0","1","0"
"370099",0,"9","4","7","2","0","1","0"
"221675",0,"19","5","3","2","0","1","0"
"136930",0,"13","6","8","2","0","1","0"
"96656",0,"4","6","10","3","0","0","0"
"274865",0,"6","3","12","2","0","0","0"
"374685",0,"7","3","7","2","1","1","0"
"296251",0,"16","4","11","2","0","1","0"
"63403",0,"23","2","11","2","0","1","0"
"231277",0,"15","3","3","5","0","0","1"
"125887",0,"15","2","8","1","0","0","0"
"42564",0,"9","1","1","2","0","1","0"
"77325",0,"13","1","11","2","0","0","0"
"27254",0,"20","0","1","1","0","1","0"
"302703",0,"14","1","11","2","0","1","0"
"297596",0,"19","2","11","2","0","1","0"
"283319",0,"16","4","12","2","0","0","0"
"248921",0,"3","6","2","2","0","1","0"
"443252",0,"9","1","3","2","0","1","0"
"365185",0,"5","5","8","1","0","1","0"
"107180",0,"18","3","9","2","0","1","0"
"194314",0,"10","1","5","2","0","1","0"
"20469",0,"23","5","2","2","0","0","0"
"167537",0,"19","1","6","2","0","1","0"
"274673",0,"15","3","12","2","0","1","0"
"71361",0,"15","3","11","2","0","0","0"
"43696",0,"22","5","12","1","0","0","0"
"29945",0,"16","2","1","2","0","1","0"
"464672",0,"10","6","2","3","1","0","0"
"182843",0,"16","4","5","2","0","1","0"
"393537",0,"19","1","6","2","0","1","0"
"191188",0,"16","6","5","2","0","0","0"
"80332",0,"19","3","11","1","0","1","0"
"418373",0,"20","3","5","2","1","1","0"
"229370",0,"19","6","3","2","0","1","0"
"149620",0,"14","1","7","2","0","0","0"
"286994",0,"19","5","12","2","0","0","0"
"332204",0,"16","2","9","2","0","1","0"
"45911",0,"18","1","12","2","0","1","0"
"285",0,"20","5","3","2","0","1","0"
"79432",0,"11","4","11","1","0","0","0"
"410650",0,"13","1","5","2","0","1","0"
"109486",0,"11","0","9","1","0","0","0"
"203882",0,"16","5","4","2","0","0","0"
"63166",0,"18","2","11","2","0","1","0"
"39292",0,"15","6","1","2","0","1","0"
"173469",0,"16","5","6","2","0","0","0"
"101852",0,"13","4","9","2","0","0","0"
"380025",0,"3","2","7","1","0","0","0"
"247559",0,"22","2","2","2","0","1","0"
"310587",0,"10","1","10","2","0","0","1"
"458027",0,"9","4","2","2","0","1","0"
"424651",0,"13","0","4","2","0","1","0"
"176408",0,"15","0","6","3","0","1","0"
"245604",0,"12","5","2","2","0","1","0"
"58779",0,"23","1","12","2","0","0","0"
"160482",0,"18","4","7","2","0","0","0"
"47754",0,"21","4","12","2","0","1","0"
"262797",0,"22","4","1","3","0","1","0"
"115592",0,"4","5","9","1","0","0","0"
"235273",0,"12","3","3","1","0","1","0"
"331393",0,"14","3","9","2","0","1","0"
"23538",0,"15","0","2","1","0","0","0"
"44234",0,"5","4","12","2","0","1","0"
"206149",0,"7","2","4","2","0","1","0"
"211887",0,"8","0","4","2","0","1","0"
"470538",0,"19","2","2","2","0","0","0"
"342403",0,"12","0","9","2","0","1","0"
"373812",0,"11","5","7","2","0","1","0"
"399188",0,"10","5","6","4","0","0","0"
"74243",0,"23","6","11","2","0","1","0"
"212254",0,"8","0","4","2","0","0","0"
"378158",0,"5","5","7","2","0","1","0"
"418552",0,"13","3","5","2","1","1","0"
"382119",0,"18","5","7","1","0","1","0"
"131319",0,"0","1","8","2","0","1","0"
"287833",0,"15","4","12","2","0","1","0"
"317493",0,"14","5","10","2","0","1","0"
"154598",0,"14","0","7","2","0","0","0"
